"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
7,0.25,0.32,9,0.046,56,136.5,0.9955,3.25,0.5,10.4,58.5885540267358
6.9,0.24,0.35,1,0.052,35,84.6,0.993,3.45,0.44,10,55.1279218037159
7,0.28,0.39,8.7,0.051,32,78.1,0.9961,3.38,0.53,10.5,54.7306378077901
7.4,0.27,0.48,1.1,0.047,17,47.2,0.9914,3.19,0.49,11.6,52.1902183352141
7.2,0.32,0.36,2,0.033,37,85.4,0.9906,3.1,0.71,12.3,65.5604965214372
8.5,0.24,0.39,10.4,0.044,20,54.2,0.9974,3.2,0.53,10,52.894786479062
8.3,0.14,0.34,1.1,0.042,7,18.7,0.9934,3.47,0.4,10.2,50.8299627909744
7.4,0.25,0.36,2.05,0.05,31,72,0.992,3.19,0.44,10.8,54.4660091298554
6.2,0.12,0.34,1.5,0.045,43,97.7,0.9939,3.42,0.51,9,56.5874793790017
5.8,0.27,0.2,14.95,0.044,22,61.9,0.9962,3.37,0.37,10.2,43.0394121737255
7.3,0.28,0.43,1.7,0.08,21,54.3,0.9905,3.19,0.42,12.8,42.5593044312492
6.5,0.39,0.23,5.4,0.051,25,64.9,0.9934,3.24,0.35,10,43.1369872729131
7,0.33,0.32,1.2,0.053,38,89.8,0.9906,3.13,0.28,11.2,55.4381003111265
7.3,0.24,0.39,17.95,0.057,45,104.9,0.9999,3.21,0.36,8.6,46.7677536733858
7.3,0.24,0.39,17.95,0.057,45,104.9,0.9999,3.21,0.36,8.6,46.7677536733858
6.7,0.23,0.39,2.5,0.172,63,141.8,0.9937,3.11,0.36,9.4,59.4989856100937
6.7,0.24,0.39,2.9,0.173,63,141.7,0.9937,3.1,0.34,9.4,59.4900812380302
7,0.31,0.26,7.4,0.069,28,72,0.9954,3.13,0.46,9.8,53.9845515214969
6.6,0.24,0.27,1.4,0.057,33,81.2,0.9934,3.22,0.56,9.5,54.7871237421056
6.7,0.23,0.26,1.4,0.06,33,81.4,0.9934,3.24,0.56,9.5,54.8022891557149
7.4,0.18,0.31,1.4,0.058,38,92.7,0.9931,3.16,0.53,10,65.9034838309452
6.2,0.45,0.26,4.4,0.063,63,146.6,0.994,3.27,0.52,9.8,38.829915892028
6.2,0.46,0.25,4.4,0.066,62,144.7,0.9939,3.25,0.52,9.8,48.8937282756198
7,0.31,0.26,7.4,0.069,28,72,0.9954,3.13,0.46,9.8,53.9845515214969
6.9,0.19,0.35,5,0.067,32,79,0.995,3.36,0.48,9.8,44.5364457916054
7.2,0.19,0.31,1.6,0.062,31,79.3,0.9917,3.35,0.44,11.7,54.5573695681037
6.6,0.25,0.29,1.1,0.068,39,90.4,0.9914,3.34,0.58,11,65.9700760805554
6.2,0.16,0.33,1.1,0.057,21,50.2,0.991,3.32,0.46,10.9,63.2416543646756
6.4,0.18,0.35,1,0.045,39,88.8,0.9911,3.31,0.35,10.9,55.8398876381578
6.8,0.2,0.59,0.9,0.147,38,89.2,0.993,3.05,0.38,9.1,55.5398479852932
6.9,0.25,0.35,1.3,0.039,29,77.1,0.9908,3.13,0.52,11,54.1340211466682
7.2,0.21,0.34,11.9,0.043,37,95.3,0.9962,3.09,0.5,9.6,55.6609031601396
6,0.19,0.26,12.4,0.048,50,114.7,0.9972,3.3,0.36,8.9,57.7925461941118
6.6,0.38,0.15,4.6,0.044,25,57.8,0.9931,3.11,0.38,10.2,53.3689191723095
7.4,0.2,0.36,1.2,0.038,44,99.1,0.9926,3.36,0.34,9.9,56.6210898208861
6.8,0.22,0.24,4.9,0.092,30,72.3,0.9951,3.03,0.46,8.6,54.3582775833699
6,0.19,0.26,12.4,0.048,50,114.7,0.9972,3.3,0.36,8.9,57.7925461941118
7,0.47,0.07,1.1,0.035,17,49.1,0.991,3.02,0.34,10.5,41.6523706424826
6.6,0.38,0.15,4.6,0.044,25,57.8,0.9931,3.11,0.38,10.2,53.3689191723095
7.2,0.24,0.27,1.4,0.038,31,74.2,0.9927,3.15,0.46,10.3,54.4737291294577
6.2,0.35,0.03,1.2,0.064,29,70,0.9934,3.22,0.54,9.1,43.7442265124622
6.4,0.26,0.24,6.4,0.04,27,66.4,0.9903,3.22,0.49,12.6,64.1534539034858
6.7,0.25,0.13,1.2,0.041,81,179.4,0.992,3.14,0.42,9.8,52.1698356310451
6.7,0.23,0.31,2.1,0.046,30,69.6,0.9926,3.33,0.64,10.7,74.8421413961073
7.4,0.24,0.29,10.1,0.05,21,52.5,0.9962,3.13,0.35,9.5,42.7954994661495
6.2,0.27,0.43,7.8,0.056,48,120.4,0.9956,3.1,0.51,9,57.235280559575
6.8,0.3,0.23,4.6,0.061,50.5,124.85,0.9958,3.32,0.6,9.5,47.3139643118033
6,0.27,0.28,4.8,0.063,31,82.1,0.9964,3.69,0.71,10,44.3015851100751
8.6,0.23,0.46,1,0.054,9,25.2,0.9941,2.95,0.49,9.1,50.9395435184402
6.7,0.23,0.31,2.1,0.046,30,69.6,0.9926,3.33,0.64,10.7,74.8421413961073
7.4,0.24,0.29,10.1,0.05,21,52.5,0.9962,3.13,0.35,9.5,42.7954994661495
7.1,0.18,0.36,1.4,0.043,31,70.7,0.9898,3.26,0.37,12.7,64.8114401447543
7,0.32,0.34,1.3,0.042,20,46.9,0.9912,3.31,0.65,12,62.8616947617985
7.4,0.18,0.3,8.8,0.064,26,62.3,0.9961,2.94,0.56,9.3,43.6204091295725
6.7,0.54,0.28,5.4,0.06,21,52.5,0.9949,3.27,0.37,9,42.277409250884
6.8,0.22,0.31,1.4,0.053,34,79.4,0.9929,3.39,0.77,10.6,54.9984309313555
7.1,0.2,0.34,16,0.05,51,118.6,0.9985,3.21,0.6,9.2,57.9917239258829
7.1,0.34,0.2,6.1,0.063,47,110.4,0.9946,3.17,0.42,10,46.7079643275135
7.3,0.22,0.3,8.2,0.047,42,104.7,0.9966,3.33,0.46,9.5,56.3987596063241
7.1,0.43,0.61,11.8,0.045,54,123.5,0.9974,3.11,0.45,8.7,47.7960099117838
7.1,0.44,0.62,11.8,0.044,52,119.2,0.9975,3.12,0.46,8.7,57.7067953807702
7.2,0.39,0.63,11,0.044,55,125.6,0.9974,3.09,0.44,8.7,58.2380625743351
6.8,0.25,0.31,13.3,0.05,69,158.2,0.9972,3.22,0.48,9.7,60.7333069349656
7.1,0.43,0.61,11.8,0.045,54,123.5,0.9974,3.11,0.45,8.7,47.7960099117838
7.1,0.44,0.62,11.8,0.044,52,119.2,0.9975,3.12,0.46,8.7,57.7067953807702
7.2,0.39,0.63,11,0.044,55,125.6,0.9974,3.09,0.44,8.7,58.2380625743351
6.1,0.27,0.43,7.5,0.049,65,154.3,0.9957,3.12,0.47,9,49.7003580441637
6.9,0.24,0.33,1.7,0.035,47,107.6,0.99,3.26,0.4,12.6,67.2820066358916
6.9,0.21,0.33,1.8,0.034,48,109.6,0.9899,3.25,0.41,12.6,67.4863855311295
7.5,0.17,0.32,1.7,0.04,51,116.8,0.9916,3.21,0.44,11.5,68.0113665649855
7.1,0.26,0.29,12.4,0.044,62,148,0.9969,3.04,0.42,9.2,59.5700147502713
6,0.34,0.66,15.9,0.046,26,68.4,0.9979,3.14,0.5,8.8,53.7940581018432
8.6,0.265,0.36,1.2,0.034,15,38,0.9913,2.95,0.36,11.4,62.1053635069519
9.8,0.36,0.46,10.5,0.038,4,16.3,0.9956,2.89,0.3,10.1,29.6557543463506
6,0.34,0.66,15.9,0.046,26,68.4,0.9979,3.14,0.5,8.8,53.7940581018432
7.4,0.25,0.37,13.5,0.06,52,123.2,0.9975,3,0.44,9.1,47.7543341945783
7.1,0.12,0.32,9.6,0.054,64,144.2,0.9962,3.4,0.41,9.4,49.8340040885797
6,0.21,0.24,12.1,0.05,55,126.4,0.997,3.34,0.39,9.4,48.3152483162179
7.5,0.305,0.4,18.9,0.059,44,105,1,2.99,0.46,9,46.5030325519799
7.4,0.25,0.37,13.5,0.06,52,123.2,0.9975,3,0.44,9.1,47.7543341945783
7.3,0.13,0.32,14.4,0.051,34,78.9,0.9974,3.2,0.35,9.2,55.3565800713295
7.1,0.12,0.32,9.6,0.054,64,144.2,0.9962,3.4,0.41,9.4,49.8340040885797
7.1,0.23,0.35,16.5,0.04,60,137.1,0.999,3.16,0.59,9.1,59.3904042993851
7.1,0.23,0.35,16.5,0.04,60,137.1,0.999,3.16,0.59,9.1,59.3904042993851
6.9,0.33,0.28,1.3,0.051,37,92.7,0.9927,3.27,0.6,10.3,45.0584731678959
6.5,0.17,0.54,8.5,0.082,64,144.3,0.9959,2.89,0.39,8.8,59.8942835172088
7.2,0.27,0.46,18.75,0.052,45,115.5,1,3.04,0.52,8.9,46.7203006967553
7.2,0.31,0.5,13.3,0.056,68,155.5,0.9982,3.01,0.47,9.2,50.2102623687034
6.7,0.41,0.34,9.2,0.049,29,73,0.9968,3.22,0.51,9.1,43.813610443143
6.7,0.41,0.34,9.2,0.049,29,73,0.9968,3.22,0.51,9.1,43.813610443143
5.5,0.485,0,1.5,0.065,8,26.3,0.994,3.63,0.4,9.7,30.0193042841628
6,0.31,0.24,3.3,0.041,25,64.3,0.9914,3.31,0.44,11.3,53.4711986234009
7,0.14,0.4,1.7,0.035,16,40.5,0.9911,3.19,0.42,11.8,52.242841725028
7.2,0.31,0.5,13.3,0.056,68,155.5,0.9982,3.01,0.47,9.2,50.2102623687034
7.3,0.32,0.48,13.3,0.06,57,133.6,0.9982,3.04,0.5,9.2,48.4464277419538
5.9,0.36,0.04,5.7,0.046,21,50.7,0.9934,3.22,0.51,10.2,42.5552263500721
7.8,0.24,0.32,12.2,0.054,42,97.8,0.9984,3.01,0.54,8.8,46.1592791735125
7.4,0.16,0.31,6.85,0.059,31,75.1,0.9952,3.29,0.34,9.7,44.4544900258914
6.9,0.19,0.28,5,0.058,14,42.6,0.9952,3.29,0.36,9.1,51.9132130131334
6.4,0.13,0.47,1.6,0.092,40,95.8,0.9928,3.21,0.36,9.8,56.0352553726858
6.7,0.19,0.36,1.1,0.026,63,140.3,0.9912,3.27,0.48,11,59.654828685514
7.4,0.39,0.23,7,0.033,29,70.6,0.994,3.14,0.42,10.5,43.8046271935953
6.5,0.24,0.32,7.6,0.038,48,116.3,0.9958,3.45,0.54,9.7,67.5755714820916
6.1,0.3,0.56,2.8,0.044,47,111.9,0.9924,3.3,0.57,10.9,67.2089224271745
6.1,0.3,0.56,2.7,0.046,46,110.4,0.9924,3.31,0.57,10.9,56.8057344558574
5.7,0.26,0.25,10.4,0.02,7,19.7,0.994,3.39,0.37,10.6,40.5983395445021
6.5,0.24,0.32,7.6,0.038,48,116.3,0.9958,3.45,0.54,9.7,67.5755714820916
6.5,0.425,0.4,13.1,0.038,59,142.1,0.9979,3.23,0.57,9,48.6481911229022
6.6,0.24,0.27,15.8,0.035,46,110.8,0.9982,3.24,0.51,9.2,46.9076725840051
6.8,0.27,0.22,8.1,0.034,55,130.3,0.9961,3.19,0.52,8.9,48.1443048573336
6.7,0.27,0.31,15.7,0.036,44,105.9,0.9979,3.26,0.56,9.6,46.5445256881235
8.2,0.23,0.4,1.2,0.027,36,84.1,0.992,3.12,0.38,10.7,55.2815154133234
7.1,0.37,0.67,10.5,0.045,49,113.5,0.9975,3.16,0.44,8.7,47.0680112449745
6.8,0.19,0.36,1.9,0.035,30,69.6,0.9917,3.15,0.54,10.8,64.6393824475729
8.1,0.28,0.39,1.9,0.029,18,43.9,0.9923,3.23,0.52,11.8,52.3697226110448
6.3,0.31,0.34,2.2,0.045,20,47.7,0.9927,3.3,0.43,10.2,42.4062746056559
7.1,0.37,0.67,10.5,0.045,49,113.5,0.9975,3.16,0.44,8.7,47.0680112449745
7.9,0.21,0.4,1.2,0.039,38,86.7,0.992,3.21,0.54,10.8,55.6315859226682
8.5,0.21,0.41,4.3,0.036,24,57.9,0.9947,3.18,0.53,9.7,53.4612214146043
8.1,0.2,0.4,2,0.037,19,46.7,0.9921,3.12,0.54,11.2,52.6282423067341
6.3,0.255,0.37,1.1,0.04,37,85.4,0.9905,3,0.39,10.9,55.3788101189557
5.6,0.16,0.27,1.4,0.044,53,122.8,0.9918,3.28,0.37,10.1,58.1034325801957
6.4,0.595,0.14,5.2,0.058,15,39.7,0.9951,3.38,0.36,9,31.0144282450653
6.3,0.34,0.33,4.6,0.034,19,46,0.9917,3.38,0.58,12,62.7510193592034
6.9,0.25,0.3,4.1,0.054,23,57.6,0.994,2.99,0.38,9.4,53.2059473867151
7.9,0.22,0.38,8,0.043,46,107.2,0.9934,3.12,0.32,11.5,67.2486557916714
7.6,0.18,0.46,10.2,0.055,58,129.5,0.9968,3.14,0.43,9.9,59.0091270975707
6.9,0.25,0.3,4.1,0.054,23,57.6,0.994,2.99,0.38,9.4,53.2059473867151
7.2,0.18,0.41,1.2,0.048,41,91.7,0.9919,3.14,0.45,10.4,45.8956541085768
8.2,0.23,0.4,7.5,0.049,12,31.6,0.9966,3.06,0.84,9.7,51.559773694452
7.4,0.24,0.42,14,0.066,48,115.8,0.9979,2.89,0.42,8.9,57.365014864006
7.4,0.24,0.42,14,0.066,48,115.8,0.9979,2.89,0.42,8.9,57.365014864006
6.1,0.32,0.24,1.5,0.036,38,88.4,0.9898,3.29,0.42,12.4,65.7339466207185
5.2,0.44,0.04,1.4,0.036,43,97.9,0.9894,3.36,0.33,12.1,76.607216119786
5.2,0.44,0.04,1.4,0.036,43,97.9,0.9894,3.36,0.33,12.1,76.607216119786
6.1,0.32,0.24,1.5,0.036,38,88.4,0.9898,3.29,0.42,12.4,65.7339466207185
6.4,0.22,0.56,14.5,0.055,27,69.9,0.998,2.98,0.4,9.1,43.8358879387598
6.3,0.36,0.3,4.8,0.049,14,36.5,0.9932,3.28,0.39,10.6,41.4236892015072
7.4,0.24,0.42,14,0.066,48,115.8,0.9979,2.89,0.42,8.9,57.365014864006
6.7,0.24,0.35,13.1,0.05,64,148.5,0.997,3.15,0.5,9.5,49.696969953714
7,0.23,0.36,13,0.051,72,161.7,0.9972,3.16,0.49,9.8,50.9830725434198
8.4,0.27,0.46,8.7,0.048,39,97.7,0.9974,3.14,0.59,9.6,55.8302447558455
6.7,0.46,0.18,2.4,0.034,25,59.8,0.9896,3.08,0.44,12.6,63.4545915303489
7.5,0.29,0.31,8.95,0.055,20,55.1,0.9968,3.08,0.54,9.3,42.5311174358552
9.8,0.42,0.48,9.85,0.034,5,21,0.9958,2.87,0.29,10,39.9566444448079
7.1,0.3,0.46,1.5,0.066,29,71.3,0.9906,3.12,0.54,12.7,54.0419611028594
7.9,0.19,0.45,1.5,0.045,17,43.6,0.9917,3.13,0.39,11,52.3094805295907
7.6,0.48,0.37,0.8,0.037,4,18,0.9902,3.03,0.39,11.4,29.3146152047439
6.3,0.22,0.43,4.55,0.038,31,75,0.9918,3.35,0.33,11.5,64.8264005300062
7.5,0.27,0.31,17.7,0.051,33,83.3,0.999,3.09,0.64,10.2,44.8006787174715
6.9,0.23,0.4,7.5,0.04,50,115.1,0.9927,3.11,0.27,11.4,57.6195366560089
7.2,0.32,0.47,5.1,0.044,19,44.5,0.991,3.03,0.41,12.6,32.010697115423
5.9,0.23,0.3,12.9,0.054,57,131,0.9972,3.28,0.39,9.4,48.6080636231964
6,0.67,0.07,1.2,0.06,9,28.8,0.9931,3.11,0.35,8.7,29.8402297213664
6.4,0.25,0.32,5.5,0.049,41,99.6,0.995,3.19,0.68,9.2,56.1249831288106
6.4,0.33,0.31,5.5,0.048,42,101.3,0.9951,3.19,0.66,9.3,56.1681138491801
7.1,0.34,0.15,1.2,0.053,61,140.3,0.9936,3.09,0.43,9.2,48.8404217681821
6.8,0.28,0.4,22,0.048,48,112.7,1.001,2.93,0.5,8.7,47.2358782164946
6.9,0.27,0.4,14,0.05,64,150.7,0.9979,3.18,0.58,9.6,59.9149115548072
6.8,0.26,0.56,11.9,0.043,64,150.6,0.997,3.02,0.63,9.3,49.6291818908601
6.8,0.29,0.56,11.9,0.043,66,155,0.9972,3.02,0.63,9.3,49.9036054599451
6.7,0.24,0.41,9.4,0.04,49,114.6,0.9954,3.12,0.61,9.9,57.4831641240508
5.9,0.3,0.23,4.2,0.038,42,95.9,0.9924,3.15,0.5,11,45.9490423063898
6.8,0.53,0.35,3.8,0.034,26,62.9,0.9906,3.26,0.57,12.7,73.7986722952487
6.5,0.28,0.28,8.5,0.047,54,129,0.9962,3.09,0.54,8.9,37.7133927846244
6.6,0.28,0.28,8.5,0.052,55,131.1,0.9962,3.09,0.55,8.9,58.3528709910302
6.8,0.28,0.4,22,0.048,48,112.7,1.001,2.93,0.5,8.7,47.2358782164946
6.8,0.28,0.36,8,0.045,28,68.3,0.9928,3.02,0.37,11.4,54.0412285507187
6.6,0.15,0.34,5.1,0.055,34,80.5,0.9942,3.36,0.42,9.6,44.9238478138352
6.4,0.29,0.44,3.6,0.2,75,168.1,0.9942,3.02,0.41,9.1,51.0679510254004
6.4,0.3,0.45,3.5,0.197,76,170,0.9942,3.02,0.39,9.1,61.4544220436282
6.4,0.29,0.44,3.6,0.197,75,168.3,0.9942,3.01,0.38,9.1,51.0688510832705
6.8,0.26,0.24,7.8,0.052,54,129.4,0.9961,3.13,0.47,8.9,47.9734168541992
7.1,0.32,0.24,13.1,0.05,52,124.4,0.998,3.1,0.49,8.8,47.6666076018437
6.8,0.26,0.24,7.8,0.052,54,129.4,0.9961,3.13,0.47,8.9,47.9734168541992
6.8,0.27,0.26,16.1,0.049,55,129.6,0.9984,3.15,0.5,9.3,48.2809634442846
7.1,0.32,0.24,13.1,0.05,52,124.4,0.998,3.1,0.49,8.8,47.6666076018437
6.9,0.54,0.32,13.2,0.05,53,129.6,0.9973,3.2,0.5,9.6,47.5166923650448
6.8,0.26,0.34,13.9,0.034,39,91.4,0.9949,3.33,0.53,12,55.9803596416864
5.8,0.28,0.35,2.3,0.053,36,83.4,0.9924,3.28,0.5,10.2,34.7479100360859
6.4,0.21,0.5,11.6,0.042,45,105.3,0.9972,3.15,0.43,8.8,46.6909573925166
7,0.16,0.32,8.3,0.045,38,88.6,0.9958,3.21,0.34,9.2,45.5960750358611
10.2,0.44,0.88,6.2,0.049,20,52.4,0.9968,2.99,0.51,9.9,31.9981401259313
6.8,0.57,0.29,2.2,0.04,15,37.7,0.9938,3.32,0.74,10.2,41.2376582600392
6.1,0.4,0.31,0.9,0.048,23,63,0.993,3.22,0.77,9.5,52.957854366068
5.6,0.245,0.25,9.7,0.032,12,30.8,0.994,3.31,0.34,10.5,41.3841568511848
6.8,0.18,0.38,1.4,0.038,35,81.1,0.9918,3.32,0.59,11.2,65.4585053009588
7,0.16,0.32,8.3,0.045,38,88.6,0.9958,3.21,0.34,9.2,45.5960750358611
6.7,0.13,0.29,5.3,0.051,31,74.2,0.9944,3.44,0.37,9.7,54.7352329896032
6.2,0.25,0.25,1.4,0.03,35,80.5,0.9912,3.3,0.44,11.1,65.3622201322961
5.8,0.26,0.24,9.2,0.044,55,125.2,0.9961,3.31,0.38,9.4,48.1872272253644
7.5,0.27,0.36,7,0.036,45,106.4,0.9939,3.03,0.33,11,46.5077131543355
5.8,0.26,0.24,9.2,0.044,55,125.2,0.9961,3.31,0.38,9.4,48.1872272253644
5.7,0.28,0.24,17.5,0.044,60,136.7,0.9989,3.31,0.44,9.4,49.1125377457582
7.5,0.23,0.36,7,0.036,43,102.1,0.9938,3.04,0.32,11,46.2491389287209
7.5,0.27,0.36,7,0.036,45,106.4,0.9939,3.03,0.33,11,46.5077131543355
7.2,0.685,0.21,9.5,0.07,33,83.2,0.9971,3,0.55,9.1,54.2566479805994
6.2,0.25,0.25,1.4,0.03,35,80.5,0.9912,3.3,0.44,11.1,65.3622201322961
6.5,0.19,0.3,0.8,0.043,33,80.4,0.9936,3.42,0.39,9.1,54.8826834664786
6.3,0.495,0.22,1.8,0.046,31,76,0.9929,3.39,0.54,10.4,54.1336405037159
7.1,0.24,0.41,17.8,0.046,39,92.5,0.9998,3.32,0.39,8.7,45.8310108909025
6.4,0.17,0.32,2.4,0.048,41,102,0.9938,3.5,0.5,9.7,56.221510232345
7.1,0.25,0.32,10.3,0.041,66,159.2,0.9969,3.17,0.52,9.1,60.1984954370577
6.4,0.17,0.32,2.4,0.048,41,102,0.9938,3.5,0.5,9.7,56.221510232345
7.1,0.24,0.41,17.8,0.046,39,92.5,0.9998,3.32,0.39,8.7,45.8310108909025
6.8,0.64,0.08,9.7,0.062,26,66.2,0.9972,3.37,0.46,8.9,32.7825063644155
8.3,0.28,0.4,7.8,0.041,38,95.4,0.9976,3.34,0.51,9.6,55.6701938854582
8.2,0.27,0.39,7.8,0.039,49,118.8,0.9976,3.31,0.51,9.5,57.4332548084845
7.2,0.23,0.38,14.3,0.058,55,129.4,0.9979,3.09,0.44,9,58.5305384621601
7.2,0.23,0.38,14.3,0.058,55,129.4,0.9979,3.09,0.44,9,58.5305384621601
7.2,0.23,0.38,14.3,0.058,55,129.4,0.9979,3.09,0.44,9,58.5305384621601
7.2,0.23,0.38,14.3,0.058,55,129.4,0.9979,3.09,0.44,9,58.5305384621601
6.8,0.52,0.32,13.2,0.044,54,130.1,0.9972,3.27,0.5,9.6,57.9599056982485
7,0.26,0.59,1.4,0.037,40,92,0.9918,3.34,0.41,11.1,66.1358954196468
6.2,0.25,0.21,15.55,0.039,28,71.9,0.9982,3.48,0.64,9.6,54.2937961827795
7.3,0.32,0.23,13.7,0.05,49,117.7,0.9985,3.2,0.46,8.7,47.2132247624273
7.7,0.31,0.26,7.8,0.031,23,55,0.9944,3.13,0.5,10.4,42.9815920982059
7.1,0.21,0.37,2.4,0.026,23,56,0.9903,3.15,0.38,11.4,63.5119450099708
6.8,0.24,0.34,2.7,0.047,64.5,150.85,0.9934,3.3,0.58,9.7,59.8402738339105
6.9,0.4,0.56,11.2,0.043,40,94.2,0.9975,3.14,0.46,8.7,45.6066612524765
6.1,0.18,0.36,2,0.038,20,64.95,0.9923,3.37,0.79,11.3,52.8475850670224
6.8,0.21,0.27,2.1,0.03,26,65.9,0.99,3.16,0.61,12.6,63.9841632128477
5.8,0.2,0.27,1.4,0.031,12,31.7,0.9905,3.25,0.36,10.9,61.7678505796042
5.6,0.19,0.26,1.4,0.03,12,31.6,0.9905,3.25,0.37,10.9,61.7833942159413
6.1,0.41,0.14,10.4,0.037,18,47.9,0.996,3.38,0.45,10,42.1186513521653
5.9,0.21,0.28,4.6,0.053,40,99.9,0.9964,3.72,0.7,10,35.5865477204007
8.5,0.26,0.21,16.2,0.074,41,101.7,0.998,3.02,0.5,9.8,25.5529636145978
6.9,0.4,0.56,11.2,0.043,40,94.2,0.9975,3.14,0.46,8.7,45.6066612524765
5.8,0.24,0.44,3.5,0.029,5,20.9,0.9913,3.53,0.43,11.7,19.7000943440682
5.8,0.24,0.39,1.5,0.054,37,89.8,0.9932,3.21,0.52,9.3,55.4238923265797
6.7,0.26,0.39,1.1,0.04,45,104.7,0.9935,3.32,0.58,9.6,77.1675072106003
6.3,0.35,0.3,5.7,0.035,8,25.7,0.9927,3.27,0.41,11,60.9933279956365
6.3,0.35,0.3,5.7,0.035,8,25.7,0.9927,3.27,0.41,11,60.9933279956365
6.4,0.23,0.39,1.8,0.032,23,57.8,0.9912,3.32,0.5,11.8,53.2455386061521
5.8,0.36,0.38,0.9,0.037,3,13.5,0.9904,3.28,0.34,11.4,29.3633952799958
6.9,0.115,0.35,5.4,0.048,36,82.8,0.9939,3.32,0.42,10.2,55.5407992789206
6.9,0.29,0.4,19.45,0.043,36,87.6,0.9996,2.93,0.47,8.9,45.2663688658688
6.9,0.28,0.4,8.2,0.036,15,39.5,0.9944,3.17,0.33,10.2,41.7583551554929
7.2,0.29,0.4,13.6,0.045,66,155.1,0.9977,3.08,0.59,9.6,60.1875229434992
6.2,0.24,0.35,1.2,0.038,22,60.7,0.9912,3.1,0.48,10.6,53.0297785927077
6.9,0.29,0.4,19.45,0.043,36,87.6,0.9996,2.93,0.47,8.9,45.2663688658688
6.9,0.32,0.26,8.3,0.053,32,82,0.9965,3.25,0.51,9.2,54.6498758241874
5.3,0.58,0.07,6.9,0.043,34,82.9,0.9944,3.34,0.57,9.7,44.3416841555113
5.3,0.585,0.07,7.1,0.044,34,82.5,0.9945,3.34,0.57,9.7,54.5794408968277
5.4,0.59,0.07,7,0.045,36,86.7,0.9944,3.34,0.57,9.7,54.8877812852746
6.9,0.32,0.26,8.3,0.053,32,82,0.9965,3.25,0.51,9.2,54.6498758241874
5.2,0.6,0.07,7,0.044,33,80.7,0.9944,3.33,0.58,9.7,44.1532843800368
5.8,0.25,0.26,13.1,0.051,44,102.8,0.9972,3.29,0.38,9.3,46.5181099704496
6.6,0.58,0.3,5.1,0.057,30,72.3,0.9949,3.24,0.38,9,43.6434342312207
7,0.29,0.54,10.7,0.046,59,141.4,0.9966,3.05,0.61,9.5,48.7686780056635
6.6,0.19,0.41,8.9,0.046,51,118.9,0.9954,3.14,0.57,9.8,57.8631507425663
6.7,0.2,0.41,9.1,0.044,50,116.6,0.9954,3.14,0.58,9.8,57.6946472106995
7.7,0.26,0.4,1.1,0.042,9,24,0.9915,2.89,0.5,10.6,40.6580922937416
